date,product_id,product_name,category,store_location,units_sold,orders,price,revenue,stock_level,reorder_point
2025-11-24,P005,Leather Boots,Shoes,Essen,17,7,132.51,2252.73,111,49
2025-11-24,P005,Leather Boots,Shoes,Köln,29,16,121.38,3519.97,97,57
2025-11-24,P005,Leather Boots,Shoes,München,30,19,56.66,1699.86,34,32
2025-11-24,P005,Leather Boots,Shoes,Berlin,19,12,103.35,1963.58,81,51
2025-11-24,P006,Handbag,Accessories,Düsseldorf,31,19,79.14,2453.46,62,48
2025-11-24,P006,Handbag,Accessories,Essen,36,17,76.39,2750.09,54,50
2025-11-24,P006,Handbag,Accessories,Köln,24,12,34.32,823.8,92,50
2025-11-24,P006,Handbag,Accessories,München,25,12,93.09,2327.34,59,52
2025-11-24,P006,Handbag,Accessories,Berlin,24,10,53.32,1279.71,71,47
2025-11-24,P007,Belt,Accessories,Düsseldorf,30,13,47.24,1417.23,47,50
2025-11-24,P007,Belt,Accessories,Essen,15,7,54.58,818.77,73,48
2025-11-24,P007,Belt,Accessories,Köln,22,10,64.35,1415.7,85,31
2025-11-24,P007,Belt,Accessories,München,22,15,65.61,1443.37,82,43
2025-11-24,P007,Belt,Accessories,Berlin,26,15,80.92,2103.92,67,54
2025-11-24,P008,Winter Jacket,Outerwear,Düsseldorf,10,5,118.12,1181.22,110,57
2025-11-24,P008,Winter Jacket,Outerwear,Essen,32,20,150.77,4824.68,97,27
2025-11-24,P008,Winter Jacket,Outerwear,Köln,22,13,199.8,4395.55,104,45
2025-11-24,P008,Winter Jacket,Outerwear,München,25,13,83.71,2092.86,74,42
2025-11-24,P008,Winter Jacket,Outerwear,Berlin,8,5,84.79,678.34,126,54
2025-11-24,P009,Blazer,Outerwear,Düsseldorf,7,2,201.59,1411.1,95,56
2025-11-24,P009,Blazer,Outerwear,Essen,37,21,110.52,4089.36,0,50
2025-11-24,P009,Blazer,Outerwear,Köln,26,15,149.73,3893.05,109,36
2025-11-24,P009,Blazer,Outerwear,München,29,12,149.2,4326.75,53,45
2025-11-24,P009,Blazer,Outerwear,Berlin,20,9,120.42,2408.34,94,59
2025-11-24,P010,Sports Hoodie,Sportswear,Düsseldorf,42,21,53.6,2251.36,49,41
2025-11-24,P010,Sports Hoodie,Sportswear,Essen,23,11,93.44,2149.2,59,49
2025-11-24,P010,Sports Hoodie,Sportswear,Köln,18,7,37.8,680.46,78,43
2025-11-24,P010,Sports Hoodie,Sportswear,München,21,10,88.2,1852.2,105,50
2025-11-24,P010,Sports Hoodie,Sportswear,Berlin,24,11,40.85,980.33,70,32
2025-11-25,P001,Basic T-Shirt,Clothing,Düsseldorf,34,16,64.7,2199.93,60,48
2025-11-25,P001,Basic T-Shirt,Clothing,Essen,4,1,73.1,292.4,182,28
2025-11-25,P001,Basic T-Shirt,Clothing,Köln,37,32,73.16,2706.87,27,37
2025-11-25,P001,Basic T-Shirt,Clothing,München,24,13,24.2,580.84,79,40
2025-11-25,P001,Basic T-Shirt,Clothing,Berlin,31,17,25.5,790.56,35,54
2025-11-25,P002,Slim Jeans,Clothing,Düsseldorf,22,10,22.53,495.56,67,36
2025-11-25,P002,Slim Jeans,Clothing,Essen,16,11,76.68,1226.94,90,44
2025-11-25,P002,Slim Jeans,Clothing,Köln,33,20,33.84,1116.73,131,29
2025-11-25,P002,Slim Jeans,Clothing,München,30,21,65.49,1964.83,45,49
2025-11-25,P002,Slim Jeans,Clothing,Berlin,5,3,36.38,181.89,90,49
2025-11-25,P003,Summer Dress,Clothing,Düsseldorf,6,2,35.16,210.95,135,37
2025-11-25,P003,Summer Dress,Clothing,Essen,11,5,74.39,818.3,129,48
2025-11-25,P003,Summer Dress,Clothing,Köln,26,20,29.44,765.45,94,51
2025-11-25,P003,Summer Dress,Clothing,München,13,9,77.68,1009.83,96,55
2025-11-25,P003,Summer Dress,Clothing,Berlin,29,14,50.45,1462.99,86,55
2025-11-25,P004,Sneakers,Shoes,Düsseldorf,10,6,60.7,606.98,159,39
2025-11-25,P004,Sneakers,Shoes,Essen,9,4,120.82,1087.35,111,42
2025-11-25,P004,Sneakers,Shoes,Köln,37,16,88.36,3269.37,46,35
2025-11-25,P004,Sneakers,Shoes,München,25,12,92.62,2315.45,72,56
2025-11-25,P004,Sneakers,Shoes,Berlin,3,1,136.81,410.42,133,44
2025-11-25,P005,Leather Boots,Shoes,Düsseldorf,10,4,82.07,820.74,143,48
2025-11-25,P005,Leather Boots,Shoes,Essen,14,8,65.92,922.94,163,31
2025-11-25,P005,Leather Boots,Shoes,Köln,5,2,146.75,733.76,135,44
2025-11-25,P005,Leather Boots,Shoes,München,2,1,115.15,230.3,124,41
2025-11-25,P005,Leather Boots,Shoes,Berlin,24,9,147.47,3539.28,74,32
2025-11-25,P006,Handbag,Accessories,Düsseldorf,13,6,27.11,352.46,99,34
2025-11-25,P006,Handbag,Accessories,Essen,10,5,21.68,216.79,105,39
2025-11-25,P006,Handbag,Accessories,Köln,8,4,91.18,729.43,101,36
2025-11-25,P006,Handbag,Accessories,München,15,7,56.17,842.61,110,46
2025-11-25,P006,Handbag,Accessories,Berlin,17,9,55.74,947.56,82,32
2025-11-25,P007,Belt,Accessories,Düsseldorf,30,16,70.53,2115.82,72,52
2025-11-25,P007,Belt,Accessories,Essen,10,5,86.44,864.38,93,48
2025-11-25,P007,Belt,Accessories,Köln,36,31,61.18,2202.5,84,58
2025-11-25,P007,Belt,Accessories,München,1,1,32.91,32.91,104,59
2025-11-25,P007,Belt,Accessories,Berlin,23,13,58.57,1347.16,46,38
2025-11-25,P008,Winter Jacket,Outerwear,Düsseldorf,44,39,135.87,5978.12,76,25
2025-11-25,P008,Winter Jacket,Outerwear,Essen,6,3,141.88,851.3,149,36
2025-11-25,P008,Winter Jacket,Outerwear,Köln,8,3,103.47,827.73,97,36
2025-11-25,P008,Winter Jacket,Outerwear,München,14,5,155.59,2178.22,123,33
2025-11-25,P008,Winter Jacket,Outerwear,Berlin,10,4,85.82,858.2,79,48
2025-11-25,P009,Blazer,Outerwear,Düsseldorf,19,14,154.51,2935.77,101,40
2025-11-25,P009,Blazer,Outerwear,Essen,30,22,142.13,4263.75,48,58
2025-11-25,P009,Blazer,Outerwear,Köln,6,2,84.25,505.53,161,57
2025-11-25,P009,Blazer,Outerwear,München,9,7,172.1,1548.89,77,33
2025-11-25,P009,Blazer,Outerwear,Berlin,11,7,202.99,2232.91,97,43
2025-11-25,P010,Sports Hoodie,Sportswear,Düsseldorf,16,8,86.72,1387.5,86,39
2025-11-25,P010,Sports Hoodie,Sportswear,Essen,35,26,82.84,2899.24,13,38
2025-11-25,P010,Sports Hoodie,Sportswear,Köln,17,13,103.24,1755.06,135,29
2025-11-25,P010,Sports Hoodie,Sportswear,München,0,1,94.39,0.0,124,45
2025-11-25,P010,Sports Hoodie,Sportswear,Berlin,38,21,47.74,1814.27,59,43
2025-11-26,P001,Basic T-Shirt,Clothing,Düsseldorf,9,7,51.39,462.47,78,54
2025-11-26,P001,Basic T-Shirt,Clothing,Essen,29,21,69.39,2012.32,74,44
2025-11-26,P001,Basic T-Shirt,Clothing,Köln,12,5,26.74,320.86,45,39
2025-11-26,P001,Basic T-Shirt,Clothing,München,15,7,74.35,1115.3,70,34
2025-11-26,P001,Basic T-Shirt,Clothing,Berlin,37,26,47.11,1742.92,44,41
2025-11-26,P002,Slim Jeans,Clothing,Düsseldorf,32,17,56.43,1805.62,68,26
2025-11-26,P002,Slim Jeans,Clothing,Essen,17,7,46.56,791.57,117,28
2025-11-26,P002,Slim Jeans,Clothing,Köln,4,2,24.77,99.06,128,28
2025-11-26,P002,Slim Jeans,Clothing,München,17,9,68.02,1156.36,95,27
2025-11-26,P002,Slim Jeans,Clothing,Berlin,35,26,63.84,2234.37,116,55
2025-11-26,P003,Summer Dress,Clothing,Düsseldorf,24,10,25.8,619.21,48,40
2025-11-26,P003,Summer Dress,Clothing,Essen,17,8,60.29,1024.99,114,36
2025-11-26,P003,Summer Dress,Clothing,Köln,11,4,40.5,445.51,93,47
2025-11-26,P003,Summer Dress,Clothing,München,11,5,53.99,593.94,138,54
2025-11-26,P003,Summer Dress,Clothing,Berlin,43,32,28.48,1224.5,62,59
2025-11-26,P004,Sneakers,Shoes,Düsseldorf,27,20,107.52,2902.94,93,40
2025-11-26,P004,Sneakers,Shoes,Essen,29,16,132.52,3843.08,99,39
2025-11-26,P004,Sneakers,Shoes,Köln,11,9,137.61,1513.72,79,26
2025-11-26,P004,Sneakers,Shoes,München,32,22,149.49,4783.57,109,59
2025-11-26,P004,Sneakers,Shoes,Berlin,29,12,119.22,3457.27,58,53
2025-11-26,P005,Leather Boots,Shoes,Düsseldorf,34,18,129.21,4393.12,79,46
2025-11-26,P005,Leather Boots,Shoes,Essen,20,10,74.86,1497.16,60,47
2025-11-26,P005,Leather Boots,Shoes,Köln,27,15,74.12,2001.24,84,59
2025-11-26,P005,Leather Boots,Shoes,München,16,7,59.81,956.93,147,59
2025-11-26,P005,Leather Boots,Shoes,Berlin,21,8,145.62,3058.07,96,26
2025-11-26,P006,Handbag,Accessories,Düsseldorf,28,11,54.23,1518.32,65,32
2025-11-26,P006,Handbag,Accessories,Essen,23,19,77.68,1786.68,89,47
2025-11-26,P006,Handbag,Accessories,Köln,24,9,58.23,1397.5,98,39
2025-11-26,P006,Handbag,Accessories,München,23,20,71.13,1635.89,98,56
2025-11-26,P006,Handbag,Accessories,Berlin,28,13,25.32,708.9,110,34
2025-11-26,P007,Belt,Accessories,Düsseldorf,30,22,93.23,2796.76,48,34
2025-11-26,P007,Belt,Accessories,Essen,24,16,61.76,1482.19,61,44
2025-11-26,P007,Belt,Accessories,Köln,31,21,72.07,2234.28,124,42
2025-11-26,P007,Belt,Accessories,München,30,16,81.0,2429.94,115,49
2025-11-26,P007,Belt,Accessories,Berlin,41,31,22.81,935.17,66,37
2025-11-26,P008,Winter Jacket,Outerwear,Düsseldorf,44,22,176.44,7763.53,80,32
2025-11-26,P008,Winter Jacket,Outerwear,Essen,24,11,107.15,2571.68,90,49
2025-11-26,P008,Winter Jacket,Outerwear,Köln,21,9,155.42,3263.77,103,36
2025-11-26,P008,Winter Jacket,Outerwear,München,30,18,150.29,4508.61,103,28
2025-11-26,P008,Winter Jacket,Outerwear,Berlin,26,19,104.97,2729.28,97,44
2025-11-26,P009,Blazer,Outerwear,Düsseldorf,23,11,158.61,3647.98,149,58
2025-11-26,P009,Blazer,Outerwear,Essen,25,10,177.36,4433.95,84,55
2025-11-26,P009,Blazer,Outerwear,Köln,0,1,92.4,0.0,140,35
2025-11-26,P009,Blazer,Outerwear,München,37,16,96.57,3572.98,78,35
2025-11-26,P009,Blazer,Outerwear,Berlin,23,10,83.67,1924.35,124,30
2025-11-26,P010,Sports Hoodie,Sportswear,Düsseldorf,23,11,93.54,2151.46,52,59
2025-11-26,P010,Sports Hoodie,Sportswear,Essen,4,3,34.01,136.05,89,31
2025-11-26,P010,Sports Hoodie,Sportswear,Köln,13,9,54.13,703.72,83,44
2025-11-26,P010,Sports Hoodie,Sportswear,München,15,7,116.71,1750.58,119,31
2025-11-26,P010,Sports Hoodie,Sportswear,Berlin,30,21,88.88,2666.27,59,48
2025-11-27,P001,Basic T-Shirt,Clothing,Düsseldorf,28,19,56.51,1582.33,77,31
2025-11-27,P001,Basic T-Shirt,Clothing,Essen,37,19,26.89,994.79,131,30
2025-11-27,P001,Basic T-Shirt,Clothing,Köln,17,10,29.95,509.09,21,46
2025-11-27,P001,Basic T-Shirt,Clothing,München,20,13,68.38,1367.68,71,44
2025-11-27,P001,Basic T-Shirt,Clothing,Berlin,10,5,32.29,322.93,145,52
2025-11-27,P002,Slim Jeans,Clothing,Düsseldorf,30,18,52.32,1569.66,73,43
2025-11-27,P002,Slim Jeans,Clothing,Essen,2,1,67.57,135.14,122,42
2025-11-27,P002,Slim Jeans,Clothing,Köln,27,14,29.96,808.98,33,52
2025-11-27,P002,Slim Jeans,Clothing,München,5,2,63.96,319.79,104,33
2025-11-27,P002,Slim Jeans,Clothing,Berlin,15,6,79.3,1189.57,126,55
2025-11-27,P003,Summer Dress,Clothing,Düsseldorf,35,14,25.58,895.36,48,52
2025-11-27,P003,Summer Dress,Clothing,Essen,17,10,62.61,1064.45,127,58
2025-11-27,P003,Summer Dress,Clothing,Köln,30,23,30.43,912.77,99,42
2025-11-27,P003,Summer Dress,Clothing,München,24,18,41.14,987.42,122,40
2025-11-27,P003,Summer Dress,Clothing,Berlin,13,8,24.18,314.32,72,27
2025-11-27,P004,Sneakers,Shoes,Düsseldorf,8,3,56.85,454.8,118,41
2025-11-27,P004,Sneakers,Shoes,Essen,15,10,50.02,750.28,116,32
2025-11-27,P004,Sneakers,Shoes,Köln,15,11,51.8,777.0,88,43
2025-11-27,P004,Sneakers,Shoes,München,23,10,51.8,1191.42,93,43
2025-11-27,P004,Sneakers,Shoes,Berlin,16,10,56.83,909.35,89,38
2025-11-27,P005,Leather Boots,Shoes,Düsseldorf,22,8,137.72,3029.93,125,40
2025-11-27,P005,Leather Boots,Shoes,Essen,23,16,128.92,2965.07,43,57
2025-11-27,P005,Leather Boots,Shoes,Köln,36,21,107.18,3858.38,78,39
2025-11-27,P005,Leather Boots,Shoes,München,11,5,144.81,1592.92,91,52
2025-11-27,P005,Leather Boots,Shoes,Berlin,8,4,145.05,1160.42,47,30
2025-11-27,P006,Handbag,Accessories,Düsseldorf,28,17,26.9,753.26,44,59
2025-11-27,P006,Handbag,Accessories,Essen,2,1,60.65,121.29,80,44
2025-11-27,P006,Handbag,Accessories,Köln,11,9,39.95,439.41,89,41
2025-11-27,P006,Handbag,Accessories,München,40,16,72.41,2896.43,62,25
2025-11-27,P006,Handbag,Accessories,Berlin,5,2,66.67,333.36,72,29
2025-11-27,P007,Belt,Accessories,Düsseldorf,19,9,36.82,699.56,104,43
2025-11-27,P007,Belt,Accessories,Essen,31,15,45.16,1399.82,61,26
2025-11-27,P007,Belt,Accessories,Köln,28,22,67.07,1877.92,78,26
2025-11-27,P007,Belt,Accessories,München,15,6,22.17,332.6,120,55
2025-11-27,P007,Belt,Accessories,Berlin,40,26,51.54,2061.77,92,54
2025-11-27,P008,Winter Jacket,Outerwear,Düsseldorf,22,13,124.64,2742.11,99,57
2025-11-27,P008,Winter Jacket,Outerwear,Essen,29,25,128.42,3724.26,66,42
2025-11-27,P008,Winter Jacket,Outerwear,Köln,5,3,164.81,824.05,107,36
2025-11-27,P008,Winter Jacket,Outerwear,München,21,12,150.76,3166.04,76,51
2025-11-27,P008,Winter Jacket,Outerwear,Berlin,22,9,144.19,3172.25,77,59
2025-11-27,P009,Blazer,Outerwear,Düsseldorf,34,13,101.22,3441.54,68,46
2025-11-27,P009,Blazer,Outerwear,Essen,9,3,197.4,1776.57,116,45
2025-11-27,P009,Blazer,Outerwear,Köln,16,12,161.62,2585.89,114,58
2025-11-27,P009,Blazer,Outerwear,München,21,9,190.95,4010.01,72,32
2025-11-27,P009,Blazer,Outerwear,Berlin,24,10,181.1,4346.4,46,45
2025-11-27,P010,Sports Hoodie,Sportswear,Düsseldorf,30,17,43.39,1301.75,82,56
2025-11-27,P010,Sports Hoodie,Sportswear,Essen,3,1,76.01,228.04,147,41
2025-11-27,P010,Sports Hoodie,Sportswear,Köln,28,11,72.88,2040.74,101,32
2025-11-27,P010,Sports Hoodie,Sportswear,München,24,11,49.87,1196.81,64,56
2025-11-27,P010,Sports Hoodie,Sportswear,Berlin,38,25,102.4,3891.18,86,54
2025-11-28,P001,Basic T-Shirt,Clothing,Düsseldorf,35,15,57.97,2029.1,58,25
2025-11-28,P001,Basic T-Shirt,Clothing,Essen,6,3,43.95,263.68,118,32
2025-11-28,P001,Basic T-Shirt,Clothing,Köln,14,11,61.87,866.12,146,58
2025-11-28,P001,Basic T-Shirt,Clothing,München,16,9,28.71,459.39,55,47
2025-11-28,P001,Basic T-Shirt,Clothing,Berlin,20,17,21.32,426.43,72,43
2025-11-28,P002,Slim Jeans,Clothing,Düsseldorf,38,20,31.27,1188.28,51,44
2025-11-28,P002,Slim Jeans,Clothing,Essen,31,14,69.35,2149.91,49,42
2025-11-28,P002,Slim Jeans,Clothing,Köln,10,9,28.03,280.3,104,53
2025-11-28,P002,Slim Jeans,Clothing,München,32,20,23.76,760.36,46,35
2025-11-28,P002,Slim Jeans,Clothing,Berlin,29,12,70.56,2046.32,56,36
2025-11-28,P003,Summer Dress,Clothing,Düsseldorf,30,22,49.63,1488.87,60,45
2025-11-28,P003,Summer Dress,Clothing,Essen,19,8,65.66,1247.58,93,36
2025-11-28,P003,Summer Dress,Clothing,Köln,10,6,77.41,774.08,93,31
2025-11-28,P003,Summer Dress,Clothing,München,17,8,44.95,764.11,61,47
2025-11-28,P003,Summer Dress,Clothing,Berlin,20,9,75.85,1516.97,79,25
2025-11-28,P004,Sneakers,Shoes,Düsseldorf,15,6,104.38,1565.71,110,26
2025-11-28,P004,Sneakers,Shoes,Essen,33,15,123.62,4079.46,72,49
2025-11-28,P004,Sneakers,Shoes,Köln,9,3,95.49,859.43,94,54
2025-11-28,P004,Sneakers,Shoes,München,14,8,79.33,1110.63,84,40
2025-11-28,P004,Sneakers,Shoes,Berlin,29,13,134.71,3906.48,42,32
2025-11-28,P005,Leather Boots,Shoes,Düsseldorf,13,7,72.82,946.71,79,50
2025-11-28,P005,Leather Boots,Shoes,Essen,12,6,86.57,1038.82,103,34
2025-11-28,P005,Leather Boots,Shoes,Köln,25,11,114.28,2857.05,84,55
2025-11-28,P005,Leather Boots,Shoes,München,21,13,99.73,2094.36,116,58
2025-11-28,P005,Leather Boots,Shoes,Berlin,26,19,112.09,2914.36,77,55
2025-11-28,P006,Handbag,Accessories,Düsseldorf,7,3,86.71,606.97,78,52
2025-11-28,P006,Handbag,Accessories,Essen,12,8,21.21,254.54,113,53
2025-11-28,P006,Handbag,Accessories,Köln,3,1,48.39,145.16,155,54
2025-11-28,P006,Handbag,Accessories,München,13,5,87.69,1140.0,94,52
2025-11-28,P006,Handbag,Accessories,Berlin,15,6,36.57,548.62,109,34
2025-11-28,P007,Belt,Accessories,Düsseldorf,6,3,18.82,112.9,71,54
2025-11-28,P007,Belt,Accessories,Essen,8,4,99.36,794.86,91,25
2025-11-28,P007,Belt,Accessories,Köln,29,17,27.6,800.26,92,35
2025-11-28,P007,Belt,Accessories,München,37,15,45.01,1665.34,130,45
2025-11-28,P007,Belt,Accessories,Berlin,21,9,65.25,1370.17,126,52
2025-11-28,P008,Winter Jacket,Outerwear,Düsseldorf,22,10,126.51,2783.15,104,28
2025-11-28,P008,Winter Jacket,Outerwear,Essen,0,1,134.86,0.0,151,30
2025-11-28,P008,Winter Jacket,Outerwear,Köln,6,4,203.58,1221.5,127,36
2025-11-28,P008,Winter Jacket,Outerwear,München,16,11,205.45,3287.13,129,38
2025-11-28,P008,Winter Jacket,Outerwear,Berlin,40,19,135.05,5401.89,53,55
2025-11-28,P009,Blazer,Outerwear,Düsseldorf,13,6,85.94,1117.21,113,49
2025-11-28,P009,Blazer,Outerwear,Essen,38,28,142.83,5427.69,70,30
2025-11-28,P009,Blazer,Outerwear,Köln,4,3,109.88,439.5,137,41
2025-11-28,P009,Blazer,Outerwear,München,28,13,102.82,2879.1,119,42
2025-11-28,P009,Blazer,Outerwear,Berlin,25,21,156.5,3912.51,93,25
2025-11-28,P010,Sports Hoodie,Sportswear,Düsseldorf,14,6,41.85,585.96,109,44
2025-11-28,P010,Sports Hoodie,Sportswear,Essen,2,1,114.18,228.35,142,43
2025-11-28,P010,Sports Hoodie,Sportswear,Köln,29,13,60.06,1741.87,60,38
2025-11-28,P010,Sports Hoodie,Sportswear,München,8,4,115.0,920.0,65,31
2025-11-28,P010,Sports Hoodie,Sportswear,Berlin,25,10,114.71,2867.86,73,32
2025-11-29,P001,Basic T-Shirt,Clothing,Düsseldorf,16,10,64.27,1028.37,72,34
2025-11-29,P001,Basic T-Shirt,Clothing,Essen,0,1,37.25,0.0,116,44
2025-11-29,P001,Basic T-Shirt,Clothing,Köln,17,11,57.42,976.12,74,34
2025-11-29,P001,Basic T-Shirt,Clothing,München,20,16,38.77,775.49,128,34
2025-11-29,P001,Basic T-Shirt,Clothing,Berlin,30,15,55.26,1657.65,81,33
2025-11-29,P002,Slim Jeans,Clothing,Düsseldorf,13,8,64.36,836.74,136,45
2025-11-29,P002,Slim Jeans,Clothing,Essen,28,14,46.06,1289.8,67,44
2025-11-29,P002,Slim Jeans,Clothing,Köln,23,19,20.82,478.97,99,27
2025-11-29,P002,Slim Jeans,Clothing,München,3,1,77.09,231.27,121,27
2025-11-29,P002,Slim Jeans,Clothing,Berlin,9,4,79.26,713.34,108,52
2025-11-29,P003,Summer Dress,Clothing,Düsseldorf,7,4,67.24,470.7,127,39
2025-11-29,P003,Summer Dress,Clothing,Essen,24,13,46.64,1119.24,105,28
2025-11-29,P003,Summer Dress,Clothing,Köln,28,12,20.69,579.31,52,52
2025-11-29,P003,Summer Dress,Clothing,München,35,20,69.59,2435.62,91,47
2025-11-29,P003,Summer Dress,Clothing,Berlin,29,18,69.71,2021.69,43,40
2025-11-29,P004,Sneakers,Shoes,Düsseldorf,9,3,132.89,1195.98,99,36
2025-11-29,P004,Sneakers,Shoes,Essen,21,12,79.59,1671.48,62,47
2025-11-29,P004,Sneakers,Shoes,Köln,26,11,66.14,1719.54,103,38
2025-11-29,P004,Sneakers,Shoes,München,23,15,71.19,1637.36,131,39
2025-11-29,P004,Sneakers,Shoes,Berlin,40,29,92.89,3715.78,112,58
